Billing_Partner,Gross Margin,% of LC subs,Blended Price (CY2020 per F4),bill_part
Amazon,67%,78.82%,$6.57 ,AMAZON
Google,67%,77.96%,$7.38 ,GOOGLE
Recurly,74%,78.08%,$6.80 ,RECURLY
Roku,67%,77.48%,$6.93 ,ROKU
ShowTime,74%,96.72%,$6.80 ,SHOWTIME
Overall,71%,78.09%,$6.82 ,OVERALL
