Billing_Partner,Gross Margin,% of LC subs,Blended Price (CY2020 per F4),bill_part
Amazon,67%,77.18%,$6.73 ,AMAZON
Google,67%,76.08%,$7.39 ,GOOGLE
Recurly,74%,74.63%,$6.97 ,RECURLY
Roku,67%,73.20%,$6.85 ,ROKU
ShowTime,74%,97.43%,$6.97 ,SHOWTIME
Overall,71%,74.87%,$6.94 ,OVERALL
