Billing_Partner,Gross Margin,% of LC subs,Blended Price (CY2020 per F4),bill_part
Amazon,67%,77.20%,$6.57 ,AMAZON
Google,67%,76.10%,$7.29 ,GOOGLE
Recurly,74%,74.60%,$6.69 ,RECURLY
Roku,67%,73.20%,$7.26 ,ROKU
ShowTime,74%,97.40%,$6.57 ,SHOWTIME
Overall,71%,74.90%,$6.81 ,OVERALL
